136.158.46.10 - - "2023-05-29 13:25:24" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "Mozilla/5.0 (iPad; CPU OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 LightSpeed [FBAN/MessengerLiteForiOS;FBAV/410.0.0.23.86;FBBV/477357144;FBDV/iPad13,1;FBMD/iPad;FBSN/iPadOS;FBSV/16.3.1;FBSS/2;FBCR/;FBID/tablet;FBLC/en;FBOP/0]"
61.9.110.51 - - "2023-05-29 13:30:09" https://cpsujournals.com/?journal=piej&page=article&op=view&path[]=14 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36"
2001:4455:578:b900:9457:8c8b:2c66:12f3 - - "2023-05-29 13:34:41" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=40 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36"
2001:4453:6c9:4700:a1d3:9552:469b:fa32 - - "2023-05-29 13:51:33" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=40 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.57"
136.158.46.10 - - "2023-05-29 13:55:51" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=52&path[]=37&path[]=129 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
136.158.46.10 - - "2023-05-29 13:55:51" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=52&path[]=37&path[]=129 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
2a03:2880:23ff:11::face:b00c - - "2023-05-29 14:12:38" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
2a03:2880:23ff:75::face:b00c - - "2023-05-29 14:12:42" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
2a03:2880:13ff:13::face:b00c - - "2023-05-29 14:12:44" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
175.176.53.221 - - "2023-05-29 14:12:51" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
